event_name,start_date,end_date,business_area,product,approved_presence_type,country,location,approx_cost,notes
Philly LRIG Annual Vendor Exhibition,2026-05-19,2026-05-19,MTO,BioPharma,,US,"King of Prussia, PA",1000,
Philly LRIG Annual Vendor Exhibition,2026-05-19,2026-05-19,MTO,,,,"King of Prussia, PA","$2,000.00",
Discovery Lab Expo,2026-05-20,,MTO,,,CA,Toronto,592,
Philippine Medical Association of Hawaii (PMAH),2026-05-23,2026-05-24,ID,,"$3,000.00",US,"Kapolei, HI",,
American College Health Association (ACHA) Annual Meeting,2026-05-26,2026-05-30,ID,QFT,"$15,000.00",US,"Denver, CO",,
BioShow - Yale,2026-05-27,,MTO,,,,,$799,
Canadian Society for Virology,2026-05-31,,MTO,,,CA,Guelph,5550,
22nd Biennial International Conference on Human Retrovirology,2026-06-03,,MTO,,,,,"$5,000",
Canadian conference on circulating biomarkers,2026-06-05,,MTO,,,CA,Montreal,1380,
2026 AWHONN Texas Section,2026-06-06,,ID,AmniSure,"$1,500.00",,,,
The National Association of Directors of Nursing Administration of Long-Term Care (NADONA),2026-06-07,2026-06-10,ID,QFT,"$27,500.00",US,"Dallas, TX",,
ANCHOR,2026-06-07,,MTO,,,CA,Nova Scotia,2960,
IMPACTT replacement Nova Scotia June 2026,2026-06-08,2026-06-10,MTO,,,,"Western Shore, NS",,
ISSCR 2026,2026-06-08,,MTO,,,CA,Montreal,4181,
LRIG (Concordia),2026-06-11,,MTO,,,CA,Montreal,0,
CSM,2026-06-16,,MTO,,,CA,Edmonton,1332,
Sanofi Global Analytics Symposium,2026-06-17,2026-06-18,MTO,BioPharma,,US,"Cambridge, MA",15000,
Mississippi Department of Health Conference,2026-06-17,2026-06-18,ID,,$500.00,US,"Biloxi, MS",,
SOGC Annual Clinical and Scientific Conference (ACSC 2026),2026-06-17,2026-06-19,ID,AmniSure,"$3,597.00",CA,"Ottawa, ON",,
Mississippi Health Disparities Conference,2026-06-17,2026-06-18,ID,,$500.00,US,"Biloxi, MS",,
CRAFT Symposium 2026 at UofT,2026-06-18,,MTO,,,CA,Toronto,1850,
3rd Global Cell & Gene Therapy Summit,2026-07-06,2026-07-08,MTO,BioPharma,,US,"Boston, MA",5000,
ISSCR 2026,2026-07-08,2026-07-11,MTO,,,,"Montreal, Quebec","$4,068.00",
Florida Society of Rheumatology,2026-07-16,2026-07-19,ID,,"$5,750.00",US,"Orlando, FL",,
Association of Forensic DNA Analysts and Administrators,2026-07-28,,MTO,HID,,,,"$2,000.00",
Association of Medical Laboratory Immunologists (AMLI) Annual Meeting,2026-08-13,2026-08-16,ID,,$500.00,US,"Salt Lake City, UT",,
2026 AWHONN Georgia Section,2026-08-23,2026-08-25,ID,AmniSure,"$1,000.00",,"Jekyll Island, GA",,
MidWest Association of Forensic Scientists,2026-08-23,2026-08-28,MTO,HID,,,"Minneapolis, MN","$2,000.00",
Florida Chapter of American Academy of Pediatrics (FCAAP),2026-09-04,2026-09-06,ID,,"$5,000.00",US,"Orlando, FL",,
SWACM - ASM-affiliated,2026-09-09,2026-09-11,ID,,$850.00,US,"Houston, TX",,
